latitude,longitude,elevation,segment dist,total distance
37.824890,-122.159110,,0.0518,13.75,114
37.824970,-122.159360,,0.0147,13.76,114
37.825010,-122.159810,,0.0247,13.79,171
37.825370,-122.160770,,0.0580,13.85,114
37.825640,-122.161380,,0.0382,13.89,114
37.825790,-122.161640,,0.0175,13.90,114
37.826920,-122.163050,,0.1097,14.01,114
37.827390,-122.163790,,0.0518,14.06,114
37.827530,-122.163950,,0.0130,14.08,114
37.828230,-122.164615,,0.0605,14.14,114
37.828580,-122.164980,,0.0313,14.17,114
37.828780,-122.165160,,0.0169,14.19,114
37.829530,-122.165620,,0.0576,14.24,114
37.829840,-122.165900,,0.0263,14.27,114
37.830070,-122.165980,,0.0164,14.29,57
37.830390,-122.166230,,0.0260,14.31,114
37.830680,-122.166500,,0.0248,14.34,114
37.831020,-122.166910,,0.0324,14.37,114
37.831890,-122.168075,,0.0875,14.46,114
37.832250,-122.168480,,0.0333,14.49,114
37.832590,-122.169030,,0.0381,14.53,114
37.833460,-122.170200,,0.0877,14.62,114
37.833560,-122.170380,,0.0120,14.63,114
37.834070,-122.171080,,0.0520,14.68,114
37.834840,-122.171960,,0.0717,14.75,114
37.835170,-122.172380,,0.0323,14.78,114
37.835680,-122.172970,,0.0477,14.83,114
37.836130,-122.173530,,0.0436,14.88,114
37.836410,-122.174170,,0.0399,14.92,114
37.836700,-122.174920,,0.0456,14.96,114
37.837060,-122.176010,,0.0645,15.03,114
37.837440,-122.177000,,0.0601,15.09,114
37.837805,-122.178025,,0.0614,15.15,114
37.838430,-122.179600,,0.0962,15.24,114
37.838720,-122.180130,,0.0352,15.28,114
37.839210,-122.180850,,0.0519,15.33,114
37.839440,-122.181080,,0.0202,15.35,114
37.839660,-122.181240,,0.0175,15.37,114
37.839770,-122.181370,,0.0104,15.38,114
37.839870,-122.181650,,0.0167,15.40,114
37.840030,-122.182630,,0.0546,15.45,114
37.840110,-122.183490,,0.0473,15.50,171
37.840400,-122.184080,,0.0379,15.54,114
37.840660,-122.184440,,0.0266,15.56,114
37.840680,-122.184560,,0.0066,15.57,114
37.840610,-122.184720,,0.0099,15.58,229
37.840530,-122.184720,,0,15.58,286
37.840450,-122.184650,,0.0067,15.59,0
37.839870,-122.183570,,0.0713,15.66,0
37.839720,-122.183390,,0.0142,15.67,0
37.839560,-122.183310,,0.0118,15.68,286
37.839510,-122.182900,,0.0226,15.71,0
37.839460,-122.182770,,0.0078,15.71,0
37.839290,-122.182540,,0.0172,15.73,0
37.839140,-122.182130,,0.0246,15.76,0
37.839120,-122.181840,,0.0159,15.77,0
37.839080,-122.181720,,0.0071,15.78,0
37.838710,-122.181370,,0.0319,15.81,0
37.838400,-122.181230,,0.0227,15.83,286
37.838260,-122.181150,,0.0106,15.84,286
37.838080,-122.180660,,0.0295,15.87,0
37.838030,-122.180530,,0.0078,15.88,0
37.837980,-122.180470,,0.0047,15.89,0
37.837810,-122.180380,,0.0127,15.90,286
37.837740,-122.180380,,0,15.90,286
37.837630,-122.180410,,0.0077,15.91,286
37.837070,-122.180840,,0.0452,15.95,229
37.836980,-122.180930,,0.0079,15.96,229
37.836890,-122.181140,,0.0130,15.97,229
37.836750,-122.181650,,0.0294,16.00,229
37.836680,-122.181770,,0.0081,16.01,229
37.836590,-122.181840,,0.0073,16.02,229
37.836450,-122.181900,,0.0102,16.03,286
37.836360,-122.181830,,0.0073,16.04,286
37.836320,-122.181750,,0.0051,16.04,0
37.836170,-122.181100,,0.0369,16.08,0
37.836110,-122.181050,,0.0049,16.08,0
37.836000,-122.181030,,0.0076,16.09,286
37.835690,-122.181150,,0.0224,16.11,286
37.835500,-122.181290,,0.0152,16.13,229
37.835400,-122.181340,,0.0074,16.14,286
37.835220,-122.181300,,0.0126,16.15,286
37.835030,-122.181080,,0.0178,16.17,0
37.834930,-122.181030,,0.0074,16.17,286
37.834650,-122.180960,,0.0197,16.19,286
37.834600,-122.180890,,0.0051,16.20,0
37.834600,-122.180710,,0,16.20,0
37.834720,-122.180530,,0.0128,16.21,0
37.834840,-122.180430,,0.0099,16.22,0
37.835380,-122.180160,,0.0401,16.26,57
37.835840,-122.179770,,0.0382,16.30,0
37.835920,-122.179690,,0.0070,16.31,0
37.835950,-122.179630,,0.0038,16.31,0
37.835900,-122.179550,,0.0055,16.32,0
37.835820,-122.179560,,0.0055,16.32,286
37.835730,-122.179600,,0.0065,16.33,286
37.834770,-122.180170,,0.0733,16.40,229
37.834520,-122.180350,,0.0198,16.42,229
37.834280,-122.180480,,0.0180,16.44,286
37.833890,-122.180890,,0.0350,16.48,229
37.833860,-122.181020,,0.0073,16.48,229
37.833860,-122.181110,,0,16.48,171
37.833960,-122.181290,,0.0120,16.49,114
37.834060,-122.181340,,0.0074,16.50,57
37.834280,-122.181380,,0.0153,16.52,57
37.834550,-122.181500,,0.0197,16.54,57
37.834600,-122.181560,,0.0047,16.54,114
37.834620,-122.181650,,0.0051,16.55,114
37.834450,-122.182350,,0.0400,16.59,229
37.834440,-122.182470,,0.0065,16.59,171
37.834470,-122.182570,,0.0058,16.60,114
37.834620,-122.182680,,0.0119,16.61,114
37.835020,-122.182720,,0.0277,16.64,57
37.835130,-122.182750,,0.0077,16.65,57
37.835220,-122.182870,,0.0090,16.66,114
37.835220,-122.182930,,0,16.66,171
37.835150,-122.183180,,0.0144,16.67,229
37.835250,-122.183470,,0.0172,16.69,114
37.835440,-122.183600,,0.0149,16.70,114
37.835550,-122.183710,,0.0096,16.71,114
37.835840,-122.184210,,0.0338,16.75,114
37.835910,-122.184340,,0.0085,16.76,114
37.835940,-122.184510,,0.0095,16.76,114
37.835830,-122.184770,,0.0161,16.78,229
37.835750,-122.184790,,0.0056,16.79,286
37.835570,-122.184870,,0.0131,16.80,286
37.835400,-122.184840,,0.0118,16.81,286
37.835290,-122.184740,,0.0093,16.82,0
37.835190,-122.184600,,0.0103,16.83,0
37.835000,-122.184430,,0.0160,16.85,0
37.834900,-122.184470,,0.0072,16.85,286
37.834520,-122.184930,,0.0363,16.89,229
37.834390,-122.185190,,0.0168,16.91,229
37.834370,-122.185380,,0.0104,16.92,171
37.834360,-122.186170,,0.0431,16.96,171
37.834150,-122.186400,,0.0192,16.98,229
37.833910,-122.186340,,0.0169,17.00,286
37.833830,-122.186350,,0.0055,17.00,286
37.833570,-122.186450,,0.0187,17.02,286
37.833500,-122.186440,,0.0048,17.03,286
37.833410,-122.186390,,0.0067,17.03,286
37.833060,-122.186020,,0.0315,17.06,0
37.832980,-122.185990,,0.0057,17.07,286
37.832680,-122.186030,,0.0208,17.09,286
37.832370,-122.185860,,0.0233,17.11,286
37.832180,-122.185780,,0.0138,17.13,286
37.831760,-122.185690,,0.0294,17.16,286
37.831490,-122.185670,,0.0187,17.18,286
37.831360,-122.185710,,0.0092,17.19,286
37.831240,-122.185800,,0.0096,17.20,229
37.830530,-122.186750,,0.0714,17.27,229
37.830490,-122.186840,,0.0056,17.27,229
37.830440,-122.186970,,0.0078,17.28,229
37.830630,-122.187420,,0.0278,17.31,114
37.830660,-122.187600,,0.0100,17.32,114
37.830620,-122.187730,,0.0076,17.33,229
37.830370,-122.188140,,0.0282,17.35,229
37.830340,-122.188170,,0.0026,17.36,229
37.830260,-122.188190,,0.0056,17.36,286
37.830010,-122.188010,,0.0198,17.38,286
37.829810,-122.187750,,0.0198,17.40,0
37.829720,-122.187720,,0.0064,17.41,286
37.829360,-122.187920,,0.0271,17.44,286
37.829250,-122.187950,,0.0077,17.44,286
37.829110,-122.187930,,0.0097,17.45,286
37.828600,-122.187840,,0.0356,17.49,286
37.828230,-122.187920,,0.0259,17.52,286
37.827960,-122.187910,,0.0186,17.53,286
37.827780,-122.188000,,0.0133,17.55,286
37.827720,-122.188110,,0.0073,17.55,229
37.827550,-122.188990,,0.0494,17.60,229
37.827450,-122.189170,,0.0120,17.62,229
37.827250,-122.189160,,0.0138,17.63,286
37.826680,-122.188960,,0.0409,17.67,286
37.826460,-122.188750,,0.0190,17.69,0
37.826440,-122.188640,,0.0061,17.70,0
37.826440,-122.188540,,0,17.70,0
37.826470,-122.188090,,0.0246,17.72,0
37.826420,-122.187990,,0.0064,17.73,0
37.826340,-122.187900,,0.0074,17.73,0
37.825260,-122.187470,,0.0783,17.81,286
37.825010,-122.187380,,0.0179,17.83,286
37.824890,-122.187290,,0.0096,17.84,286
37.824650,-122.186930,,0.0257,17.87,0
37.824590,-122.186880,,0.0049,17.87,0
37.824470,-122.186840,,0.0085,17.88,286
37.824020,-122.186960,,0.0318,17.91,286
37.823910,-122.186970,,0.0076,17.92,286
37.823780,-122.186970,,0,17.92,286
37.823400,-122.186910,,0.0264,17.95,286
37.822840,-122.187070,,0.0397,17.99,286
37.822640,-122.187150,,0.0145,18.00,286
37.822180,-122.187200,,0.0319,18.03,286
37.821780,-122.187050,,0.0288,18.06,286
37.821600,-122.187020,,0.0125,18.07,286
37.820540,-122.187550,,0.0788,18.15,286
37.820150,-122.187680,,0.0278,18.18,286
37.820030,-122.187780,,0.0099,18.19,229
37.819890,-122.188270,,0.0284,18.22,229
37.819690,-122.188450,,0.0169,18.24,229
37.819580,-122.188500,,0.0080,18.24,286
37.819400,-122.188460,,0.0126,18.26,286
37.819260,-122.188320,,0.0123,18.27,0
37.818710,-122.187480,,0.0596,18.33,0
37.818660,-122.187110,,0.0205,18.35,0
37.818690,-122.187020,,0.0053,18.35,0
37.818830,-122.186800,,0.0154,18.37,0
37.818910,-122.186730,,0.0067,18.38,0
37.819350,-122.186480,,0.0333,18.41,57
37.819450,-122.186390,,0.0084,18.42,0
37.819580,-122.186170,,0.0150,18.43,0
37.819590,-122.185980,,0.0104,18.44,0
37.819530,-122.185720,,0.0147,18.46,0
37.819240,-122.185280,,0.0313,18.49,0
37.818880,-122.185190,,0.0253,18.52,286
37.818820,-122.185170,,0.0042,18.52,286
37.818690,-122.184930,,0.0159,18.54,0
37.818680,-122.184630,,0.0164,18.55,0
37.818700,-122.184440,,0.0104,18.56,0
37.818870,-122.184200,,0.0176,18.58,0
37.818940,-122.184190,,0.0048,18.58,57
37.819080,-122.184200,,0.0096,18.59,57
37.819380,-122.184340,,0.0221,18.62,57
37.819460,-122.184340,,0,18.62,57
37.819550,-122.184290,,0.0067,18.62,57
37.819640,-122.184060,,0.0140,18.64,0
37.819610,-122.183930,,0.0074,18.64,0
37.819520,-122.183720,,0.0130,18.66,0
37.819120,-122.183080,,0.0445,18.70,0
37.818980,-122.182950,,0.0120,18.71,0
37.818660,-122.182730,,0.0251,18.74,286
37.818360,-122.182280,,0.0321,18.77,0
37.818270,-122.182090,,0.0121,18.78,0
37.818110,-122.181430,,0.0377,18.82,0
37.817930,-122.181030,,0.0251,18.85,0
37.817770,-122.180850,,0.0148,18.86,0
37.817560,-122.180660,,0.0178,18.88,0
37.816930,-122.180430,,0.0453,18.92,286
37.816550,-122.180400,,0.0263,18.95,286
37.816310,-122.180340,,0.0169,18.97,286
37.815940,-122.180050,,0.0301,19.00,286
37.815820,-122.179890,,0.0120,19.01,0
37.815690,-122.179660,,0.0154,19.03,0
37.815260,-122.178510,,0.0695,19.10,0
37.815090,-122.178160,,0.0224,19.12,0
37.814920,-122.177850,,0.0206,19.14,0
37.814120,-122.176810,,0.0793,19.22,0
37.813940,-122.176650,,0.0152,19.23,0
37.813720,-122.176400,,0.0204,19.25,0
37.813120,-122.175840,,0.0515,19.30,0
37.812770,-122.175720,,0.0250,19.33,286
37.812030,-122.175860,,0.0517,19.38,286
37.811630,-122.175860,,0,19.38,286
37.811450,-122.175810,,0.0127,19.39,286
37.811220,-122.175670,,0.0176,19.41,286
37.810470,-122.175060,,0.0616,19.47,0
37.810230,-122.174940,,0.0178,19.49,286
37.809950,-122.174850,,0.0199,19.51,286
37.809530,-122.174880,,0.0290,19.54,286
37.809240,-122.174970,,0.0206,19.56,286
37.808715,-122.175200,,0.0384,19.60,286
37.807950,-122.175470,,0.0549,19.65,286
37.807620,-122.175530,,0.0230,19.68,286
37.807490,-122.175610,,0.0099,19.69,229
37.807300,-122.175830,,0.0178,19.71,229
37.807190,-122.176050,,0.0142,19.72,229
37.807180,-122.176370,,0.0175,19.74,171
37.807270,-122.176840,,0.0264,19.76,114
37.807520,-122.177560,,0.0429,19.81,114
37.807770,-122.178280,,0.0429,19.85,114
37.808040,-122.179140,,0.0505,19.90,114
37.807990,-122.179230,,0.0060,19.91,229
37.807920,-122.179280,,0.0055,19.91,229
37.807770,-122.179190,,0.0114,19.92,286
37.807680,-122.178840,,0.0201,19.94,0
37.807640,-122.178500,,0.0187,19.96,0
37.807540,-122.178370,,0.0099,19.97,0
37.807460,-122.178370,,0,19.97,286
37.807410,-122.178390,,0.0036,19.98,286
37.807190,-122.178810,,0.0275,20.00,229
37.807120,-122.178910,,0.0073,20.01,229
37.807010,-122.178990,,0.0087,20.02,229
37.806900,-122.179010,,0.0076,20.03,286
37.806750,-122.178970,,0.0106,20.04,286
37.806680,-122.178920,,0.0055,20.04,286
37.806040,-122.178320,,0.0550,20.10,0
37.805940,-122.178290,,0.0071,20.11,286
37.805740,-122.178290,,0,20.11,286
37.805460,-122.178430,,0.0208,20.13,286
37.805340,-122.178560,,0.0109,20.14,229
37.805240,-122.178680,,0.0095,20.15,229
37.805160,-122.179140,,0.0257,20.17,229
37.805210,-122.179300,,0.0094,20.18,114
37.805925,-122.179535,,0.0510,20.23,57
37.807085,-122.179970,,0.0836,20.32,57
37.807530,-122.180170,,0.0326,20.35,57
37.807990,-122.180400,,0.0342,20.38,57
37.808530,-122.180840,,0.0444,20.43,114
37.808890,-122.181290,,0.0349,20.46,114
37.809140,-122.181740,,0.0300,20.49,114
37.809590,-122.182980,,0.0745,20.57,114
37.809640,-122.183220,,0.0135,20.58,114
37.809740,-122.183980,,0.0421,20.62,114
37.809730,-122.185000,,0.0557,20.68,171
37.809600,-122.185735,,0.0411,20.72,229
37.809470,-122.186470,,0.0411,20.76,229
37.809400,-122.186850,,0.0213,20.78,229
37.809400,-122.187160,,0,20.78,171
37.809420,-122.187380,,0.0121,20.79,171
37.809740,-122.188480,,0.0640,20.86,114
37.809780,-122.188770,,0.0160,20.87,114
37.809790,-122.189070,,0.0164,20.89,171
37.809690,-122.189965,,0.0493,20.94,171
37.809610,-122.190600,,0.0351,20.98,229
37.809610,-122.190780,,0,20.98,171
37.809700,-122.191320,,0.0301,21.01,114
37.809810,-122.191620,,0.0180,21.02,114
37.810150,-122.192260,,0.0421,21.07,114
37.810380,-122.192800,,0.0335,21.10,114
37.810520,-122.193290,,0.0284,21.13,114
37.810640,-122.193890,,0.0338,21.16,114
37.810940,-122.195480,,0.0893,21.25,114
37.810975,-122.196125,,0.0353,21.29,171
37.811010,-122.196770,,0.0353,21.32,171
37.810950,-122.197190,,0.0233,21.35,229
37.810910,-122.197290,,0.0061,21.35,229
37.810770,-122.197530,,0.0163,21.37,229
37.810380,-122.197940,,0.0350,21.40,229
37.810640,-122.198380,,0.0300,21.43,114
37.810860,-122.198830,,0.0289,21.46,114
37.811620,-122.199410,,0.0613,21.52,114
37.811985,-122.199765,,0.0318,21.55,114
37.812350,-122.200120,,0.0318,21.59,114
37.813694,-122.201236,,0.1111,21.70,114
37.814366,-122.201794,,0.0555,21.75,114
37.815038,-122.202352,,0.0555,21.81,114
37.816120,-122.203120,,0.0858,21.89,114
37.816550,-122.203470,,0.0353,21.93,114
37.816980,-122.203820,,0.0353,21.97,114
37.818087,-122.204920,,0.0973,22.06,114
37.818640,-122.205470,,0.0486,22.11,114
37.818760,-122.205650,,0.0128,22.12,114
37.819000,-122.206390,,0.0437,22.17,114
37.819100,-122.206500,,0.0091,22.18,114
37.819210,-122.206550,,0.0080,22.19,57
37.819430,-122.206590,,0.0153,22.20,57
37.819810,-122.206460,,0.0272,22.23,57
37.820010,-122.206640,,0.0169,22.24,114
37.820800,-122.207390,,0.0683,22.31,114
37.820870,-122.207540,,0.0095,22.32,114
37.820870,-122.207710,,0,22.32,171
37.820160,-122.208230,,0.0567,22.38,229
37.819640,-122.208780,,0.0468,22.43,229
37.819450,-122.209000,,0.0178,22.44,229
37.818650,-122.210140,,0.0833,22.53,229
37.818650,-122.210150,,0,22.53,171
37.818095,-122.210950,,0.0581,22.59,229
37.817330,-122.212000,,0.0780,22.66,229
37.817120,-122.212210,,0.0185,22.68,229
37.816780,-122.212460,,0.0271,22.71,229
37.816290,-122.212720,,0.0367,22.75,286
37.815910,-122.212840,,0.0270,22.77,286
37.815060,-122.212940,,0.0590,22.83,286
37.814440,-122.213260,,0.0463,22.88,286
37.814210,-122.213460,,0.0193,22.90,229
37.814090,-122.213620,,0.0120,22.91,229
37.813920,-122.213750,,0.0137,22.92,229
37.813560,-122.213890,,0.0260,22.95,286
37.813400,-122.214000,,0.0125,22.96,229
37.812750,-122.214800,,0.0627,23.02,229
37.812530,-122.215020,,0.0193,23.04,229
37.812220,-122.215210,,0.0238,23.07,229
37.811220,-122.215740,,0.0749,23.14,286
37.811130,-122.215840,,0.0082,23.15,229
37.810970,-122.216000,,0.0141,23.17,229
37.810290,-122.216980,,0.0712,23.24,229
37.810120,-122.217160,,0.0153,23.25,229
37.809590,-122.217600,,0.0438,23.30,229
37.809260,-122.217960,,0.0301,23.33,229
37.809100,-122.218230,,0.0184,23.34,229
37.808788,-122.219033,,0.0489,23.39,229
37.808163,-122.220638,,0.0977,23.49,229
37.807850,-122.221440,,0.0488,23.54,229
37.807507,-122.222173,,0.0465,23.59,229
37.806820,-122.223640,,0.0931,23.68,229
37.806570,-122.224200,,0.0351,23.71,229
37.806320,-122.224760,,0.0351,23.75,229
37.805607,-122.226260,,0.0956,23.85,229
37.805250,-122.227010,,0.0478,23.89,229
37.804955,-122.227695,,0.0426,23.94,229
37.804560,-122.228790,,0.0657,24.00,229
37.804530,-122.229090,,0.0165,24.02,171
37.804510,-122.229350,,0.0142,24.03,171
37.804700,-122.230850,,0.0830,24.12,114
37.804860,-122.231495,,0.0369,24.15,114
37.805020,-122.232140,,0.0369,24.19,114
37.804930,-122.232510,,0.0211,24.21,229
37.804520,-122.233090,,0.0425,24.25,229
37.803980,-122.233780,,0.0530,24.31,229
37.803360,-122.234700,,0.0660,24.37,229
37.803243,-122.235760,,0.0584,24.43,171
37.803127,-122.236820,,0.0584,24.49,171
37.802860,-122.238360,,0.0861,24.58,229
37.802680,-122.239350,,0.0555,24.63,229
37.802500,-122.240340,,0.0555,24.69,229
37.802370,-122.241670,,0.0732,24.76,171
37.802310,-122.242060,,0.0217,24.78,229
37.802210,-122.242620,,0.0313,24.81,229
37.801820,-122.243970,,0.0785,24.89,229
37.801725,-122.244670,,0.0388,24.93,229
37.801630,-122.245370,,0.0388,24.97,229
37.801370,-122.246440,,0.0611,25.03,229
37.801260,-122.246750,,0.0185,25.05,229
37.801130,-122.247070,,0.0196,25.07,229
37.800640,-122.247810,,0.0527,25.12,229
37.800530,-122.248040,,0.0146,25.14,229
37.800460,-122.248210,,0.0104,25.15,229
37.800290,-122.248950,,0.0421,25.19,229
37.800210,-122.248870,,0.0070,25.20,0
37.800210,-122.248860,,0,25.20,0
37.800200,-122.249230,,0.0202,25.22,171
37.800220,-122.249570,,0.0186,25.23,171
37.800140,-122.250500,,0.0511,25.29,171
37.800010,-122.251170,,0.0377,25.32,229
37.799730,-122.251910,,0.0448,25.37,229
37.800000,-122.252683,,0.0461,25.41,114
37.800540,-122.254230,,0.0924,25.51,114
37.800540,-122.254410,,0,25.51,171
37.800350,-122.254570,,0.0157,25.52,229
37.800100,-122.254890,,0.0245,25.55,229
37.799890,-122.255480,,0.0353,25.58,229
37.799810,-122.255610,,0.0090,25.59,229
37.798680,-122.257190,,0.1164,25.71,229
37.798590,-122.257440,,0.0150,25.72,229
37.798380,-122.257850,,0.0267,25.75,229
37.798270,-122.258200,,0.0205,25.77,229
37.798230,-122.258620,,0.0231,25.79,171
37.798270,-122.259445,,0.0451,25.84,171
37.798360,-122.260710,,0.0694,25.91,171
37.798440,-122.260970,,0.0152,25.92,114
37.798550,-122.261210,,0.0151,25.94,114
37.798820,-122.261520,,0.0252,25.96,114
37.799030,-122.261660,,0.0164,25.98,114
37.799280,-122.261760,,0.0181,26.00,57
37.800460,-122.262100,,0.0837,26.08,57
37.800870,-122.262420,,0.0333,26.12,114
37.800940,-122.262510,,0.0069,26.12,114
37.801060,-122.262900,,0.0228,26.15,114
37.801290,-122.263490,,0.0359,26.18,114
37.801520,-122.264080,,0.0359,26.22,114
37.800420,-122.264770,,0.0849,26.30,229
37.800410,-122.264770,,0,26.30,286
37.799655,-122.265242,,0.0582,26.36,229
37.798145,-122.266188,,0.1165,26.48,229
37.797390,-122.266660,,0.0582,26.54,229
37.797740,-122.267545,,0.0540,26.59,114
37.798477,-122.269413,,0.1141,26.70,114
37.798863,-122.270397,,0.0600,26.76,114
37.799250,-122.271380,,0.0600,26.82,114
37.799060,-122.271510,,0.0149,26.84,229
37.798470,-122.271870,,0.0453,26.88,229
37.797840,-122.272160,,0.0463,26.93,286
37.796428,-122.273135,,0.1112,27.04,229
37.795715,-122.273580,,0.0549,27.10,229
37.795003,-122.274025,,0.0549,27.15,229
37.794075,-122.273905,,0.0645,27.22,286
37.793860,-122.273340,,0.0342,27.25,0
37.793390,-122.273610,,0.0357,27.29,286
37.793280,-122.273670,,0.0082,27.29,286
37.793520,-122.274290,,0.0377,27.33,114
